Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.09.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",37,96.903,96.903
22.04.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",100,261.9,261.9
02.02.2024,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",48,125.712,125.712
13.10.2023,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",53,138.807,138.807
26.04.2023,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",2,5.238,5.238
22.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",21,54.999,54.999
09.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",72,188.568,188.568
07.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",89,233.091,233.091
05.12.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",49,128.331,128.331
30.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",20,52.38,52.38
29.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",42,109.998,109.998
25.11.2022,"2.619,00","2.619,00","2.619,00","2.619,00","-3,00",142,371.898,371.898
11.11.2022,"2.700,00","2.700,00","2.700,00","2.700,00","7,02",200,540.0,540.0
20.10.2022,"2.523,00","2.523,00","2.523,00","2.523,00","-2,96",49,123.627,123.627
04.10.2022,"2.600,00","2.600,00","2.600,00","2.600,00","8,33",50,130.0,130.0
28.09.2022,"2.400,00","2.400,00","2.400,00","2.400,00","-2,91",50,120.0,120.0
16.06.2022,"2.472,00","2.472,00","2.472,00","2.472,00","3,00",50,123.6,123.6
06.12.2021,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",2,4.8,4.8
04.06.2021,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",49,117.6,117.6
20.10.2020,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.2,115.2
28.05.2020,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",1,2.4,2.4
28.11.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",50,120.0,120.0
01.07.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",150,360.0,360.0
26.06.2019,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",5,12.0,12.0
18.09.2018,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.2,115.2
12.04.2018,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",35,84.0,84.0
19.02.2018,"2.400,00","2.400,00","2.400,00","2.400,00","14,29",30,72.0,72.0
12.02.2018,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",48,100.8,100.8
03.07.2017,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",109,228.9,228.9
28.04.2017,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",30,63.0,63.0
29.09.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",13,27.3,27.3
06.09.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
19.08.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",2,4.2,4.2
22.04.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
01.04.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
19.02.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",43,90.3,90.3
11.02.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",49,102.9,102.9
27.01.2016,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",55,115.5,115.5
16.12.2015,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",50,105.0,105.0
24.04.2015,"2.100,00","2.100,00","2.100,00","2.100,00","2,94",104,218.4,218.4
02.01.2015,"2.040,00","2.040,00","2.040,00","2.040,00","-2,86",208,424.32,424.32
