Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
13.09.2021,"250,00","250,00","250,00","250,00","0,00",5.781,1.445.250,1.445.250
10.05.2021,"250,00","250,00","250,00","250,00","61,29",30.0,7.500,7.500
16.07.2020,"155,00","155,00","155,00","155,00","-38,00",834.0,129.270,129.270
01.07.2020,"250,00","250,00","250,00","250,00","0,00",198.0,49.500,49.500
27.12.2019,"250,00","250,00","250,00","250,00","-2,72",30.0,7.500,7.500
24.10.2019,"257,00","257,00","257,00","257,00","2,80",15.0,3.855,3.855
04.07.2018,"250,00","250,00","250,00","250,00","8,23",111.0,27.750,27.750
30.01.2018,"231,00","231,00","231,00","231,00","2,67",47.0,10.857,10.857
22.08.2017,"225,00","225,00","225,00","225,00","12,50",11.0,2.475,2.475
23.11.2016,"200,00","200,00","200,00","200,00","0,00",46.0,9.200,9.200
23.03.2016,"200,00","200,00","200,00","200,00","0,00",59.0,11.800,11.800
13.05.2015,"200,00","200,00","200,00","200,00","-55,56",41.0,8.200,8.200
