Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
20.12.2023,"603,00","603,00","603,00","603,00","0,00",180,108.54,108.54
06.09.2023,"603,00","603,00","603,00","603,00","0,00",100,60.3,60.3
05.09.2023,"603,00","603,00","603,00","603,00","0,00",225,135.675,135.675
22.09.2021,"603,00","603,00","603,00","603,00","0,00",67,40.401,40.401
09.04.2021,"603,00","603,00","603,00","603,00","0,00",201,121.203,121.203
12.11.2019,"603,00","603,00","603,00","603,00","0,00",79,47.637,47.637
05.04.2019,"603,00","603,00","603,00","603,00","0,00",280,168.84,168.84
26.06.2018,"603,00","603,00","603,00","603,00","-2,90",147,88.641,88.641
23.03.2018,"621,00","621,00","621,00","621,00","12,91",164,101.844,101.844
17.01.2018,"550,00","550,00","550,00","550,00","0,00",197,108.35,108.35
07.08.2017,"550,00","550,00","550,00","550,00","0,00",192,105.6,105.6
29.06.2017,"550,00","550,00","550,00","550,00","0,00",70,38.5,38.5
04.07.2016,"550,00","550,00","550,00","550,00","0,00",174,95.7,95.7
16.02.2016,"550,00","550,00","550,00","550,00","0,00",417,229.35,229.35
03.02.2016,"550,00","550,00","550,00","550,00","0,00",155,85.25,85.25
